ingredient,food_description,ingredient_iD,carbs,cholesterol,fiber,calories,protein,sugar,monosaturated_fat,polysaturated_fat,saturated_fat,sodium
CORNED BEEF LOAF,"CORNED BEEF LOAF,JELLIED",7020,0.0,47,0.0,153,22.9,0.0,2.68,0.32,2.6,953
DUTCH BRAND LOAF,"DUTCH BRAND LOAF,CHICK,PORK & BF",7021,3.93,60,0.300000012,273,12.0,0.899999976,11.433,3.053,9.043,1055
No Category,FRANKFURTER  BF,7022,4.06,53,0.0,330,11.24,3.390000105,14.305,1.182,11.688,1140
No Category,FRANKFURTER  BF & PORK,7023,1.72,50,0.0,305,11.53,0.0,13.67,2.73,10.77,1120
FRANKFURTER,"FRANKFURTER,CHICK",7024,2.74,96,0.400000006,223,15.51,0.529999971,5.932,3.873,3.856,844
FRANKFURTER,"FRANKFURTER,TURKEY",7025,3.81,77,0.0,223,12.23,1.210000038,5.736,3.949,4.028,1078
HAM,"HAM,CHOPPED,CANNED",7026,0.28,49,0.0,239,16.06,0.0,9.17,2.05,6.28,1365
HAM,"HAM,CHOPPED,NOT CANNED",7027,4.2,59,0.0,180,16.5,0.0,4.897,1.26,3.422,1330
HAM,"HAM,SLICED,EX LN",7028,0.75,45,0.0,107,18.85,0.0,0.992,0.214,0.66,1060
HAM,"HAM,SLICED,REG (APPROX 11% FAT)",7029,3.83,57,1.299999952,163,16.6,0.0,4.354,0.789,2.936,1304
HAM,"HAM,MINCED",7030,1.85,70,0.0,263,16.28,0.0,9.57,2.47,7.18,1245
No Category,HAM SALAD SPREAD,7031,10.65,37,0.0,216,8.68,0.0,7.2,2.7,5.06,912
No Category,HAM&CHS LOAF OR ROLL,7032,4.0,58,0.0,241,13.6,0.0,8.59,2.022,6.966,1080
No Category,HAM AND CHEESE SPREAD,7033,2.28,61,0.0,245,16.18,0.0,7.08,1.38,8.62,1197
HEADCHEESE,"HEADCHEESE,PORK",7034,0.0,69,0.0,157,13.83,0.0,5.601,1.134,3.402,830
No Category,HONEY LOAF  PORK  BF,7035,9.98,34,0.800000012,125,11.12,0.170000002,2.024,0.472,1.449,1320
SAUSAGE,"SAUSAGE,ITALIAN,PORK,RAW",7036,0.65,76,0.0,346,14.25,0.0,14.34,4.03,11.27,731
KIELBASA,"KIELBASA,KOLBASSY,PORK,BF,NONFAT DRY MILK",7037,2.81,66,0.0,309,12.23,1.600000024,11.8,3.884,9.233,904
No Category,KNACKWURST  KNOCKWURST  PORK  BF,7038,3.2,60,0.0,307,11.1,0.0,12.81,2.92,10.21,930
No Category,LEBANON BOLOGNA  BF,7039,0.44,55,0.0,172,19.03,0.0,4.436,0.258,2.794,1374
LIVER CHEESE,"LIVER CHEESE,PORK",7040,2.1,174,0.0,304,15.2,0.0,12.26,3.42,8.96,1225
LIVER SAUSAGE,"LIVER SAUSAGE,LIVERWURST,PORK",7041,2.2,158,0.0,326,14.1,0.0,13.34,2.6,10.6,860
LUNCHEON MEAT,"LUNCHEON MEAT,BEEF,LOAVED",7042,2.9,64,0.0,308,14.4,0.0,12.23,0.87,11.18,1329
LUNCHEON MEAT,"LUNCHEON MEAT,BF,THIN SLICED",7043,2.59,48,0.0,117,17.94,0.0,1.289,0.089,1.101,1117
USDA CMDTY,"USDA CMDTY,LUNCHEON MEAT,CND",7044,1.04,78,0.0,189,17.5,0.0,5.685,1.565,3.944,820
