,Spoonacular Recipe ID,Recipe,Recipe Image URL,Recipe Image Type,Recipe Calories,Recipe Protein Content (grams),Recipe Fat Content (grams),Recipe Carbs Content (grams)
200,652656,Mushroom Delight By Bing,https://spoonacular.com/recipeImages/652656-312x231.jpg,jpg,468,22g,33g,24g
201,643902,Frozen Fruit Dessert,https://spoonacular.com/recipeImages/643902-312x231.jpg,jpg,107,1g,0g,27g
202,634794,Beetroot & Oats Halwa Pudding,https://spoonacular.com/recipeImages/634794-312x231.jpg,jpg,432,7g,19g,63g
203,633263,"Bacon & Potato Soup, Gluten & Dairy Free",https://spoonacular.com/recipeImages/633263-312x231.jpg,jpg,410,20g,17g,45g
204,649045,Korean Dak Juk (Chicken Porridge),https://spoonacular.com/recipeImages/649045-312x231.jpg,jpg,272,21g,19g,5g
205,634003,"Banana Bread Muffins, Bisquick",https://spoonacular.com/recipeImages/634003-312x231.jpg,jpg,230,4g,9g,35g
206,652605,Mushroom & Gruyere Quiche,https://spoonacular.com/recipeImages/652605-312x231.jpg,jpg,257,11g,17g,16g
207,663520,Tofu Pineapple Stir-Fry,https://spoonacular.com/recipeImages/663520-312x231.jpg,jpg,249,7g,18g,17g
208,665704,Zucchini and Yam Fritters,https://spoonacular.com/recipeImages/665704-312x231.jpg,jpg,91,4g,4g,10g
209,654361,Pakistani Rice,https://spoonacular.com/recipeImages/654361-312x231.jpg,jpg,542,9g,9g,107g
